borough,bedroom_category,rent_count,rent_mean_gbp,rent_lower_quartile_gbp,rent_median_gbp,rent_upper_quartile_gbp,code,jobs_thousand,median_weekly_pay_gross_gbp,annual_pct_change_median,mean_weekly_pay_gross_gbp,annual_pct_change_mean,p10_gbp,p20_gbp,p25_gbp,p30_gbp,p40_gbp,p60_gbp,p70_gbp,p75_gbp,p80_gbp,p90_gbp
Camden,Three Bedrooms,150,3475,2768,3325,4000,E09000007,70,1032.4,17.6,1340.5,7.9,574.4,663.9,725,765.9,891.7,1185.3,1378.4,1517.1,1672.7,x
Camden,Four or More Bedrooms,50,5103,3750,4350,5490,E09000007,70,1032.4,17.6,1340.5,7.9,574.4,663.9,725,765.9,891.7,1185.3,1378.4,1517.1,1672.7,x
City of London,Room,-,..,..,..,..,E09000001,x,x,,1804.1,25,x,x,x,x,x,x,x,x,x,x
City of London,Studio,10,2134,1688,1950,2588,E09000001,x,x,,1804.1,25,x,x,x,x,x,x,x,x,x,x
City of London,One Bedroom,80,2343,2050,2250,2600,E09000001,x,x,,1804.1,25,x,x,x,x,x,x,x,x,x,x
City of London,Two Bedrooms,50,3080,2805,3000,3288,E09000001,x,x,,1804.1,25,x,x,x,x,x,x,x,x,x,x
City of London,Three Bedrooms,10,4561,..,4700,..,E09000001,x,x,,1804.1,25,x,x,x,x,x,x,x,x,x,x
City of London,Four or More Bedrooms,-,..,..,..,..,E09000001,x,x,,1804.1,25,x,x,x,x,x,x,x,x,x,x
Croydon,Room,40,686,551,712,817,E09000008,132,855.7,2.7,969.8,1.2,552.2,620,650.7,682.9,758.1,933.1,1084.3,1149.7,1234.8,1524.7
Croydon,Studio,70,1040,969,1050,1108,E09000008,132,855.7,2.7,969.8,1.2,552.2,620,650.7,682.9,758.1,933.1,1084.3,1149.7,1234.8,1524.7
Croydon,One Bedroom,520,1207,1100,1200,1300,E09000008,132,855.7,2.7,969.8,1.2,552.2,620,650.7,682.9,758.1,933.1,1084.3,1149.7,1234.8,1524.7
Croydon,Two Bedrooms,800,1532,1400,1500,1650,E09000008,132,855.7,2.7,969.8,1.2,552.2,620,650.7,682.9,758.1,933.1,1084.3,1149.7,1234.8,1524.7
Croydon,Three Bedrooms,340,1909,1699,1900,2150,E09000008,132,855.7,2.7,969.8,1.2,552.2,620,650.7,682.9,758.1,933.1,1084.3,1149.7,1234.8,1524.7
Croydon,Four or More Bedrooms,120,2482,2150,2438,2700,E09000008,132,855.7,2.7,969.8,1.2,552.2,620,650.7,682.9,758.1,933.1,1084.3,1149.7,1234.8,1524.7
Ealing,Room,140,840,726,826,916,E09000009,112,808.1,2.1,1021.2,7.2,520.3,579.4,613.5,649.8,736.3,920.9,1061.6,1149.9,1284.1,x
Ealing,Studio,60,1313,1150,1350,1450,E09000009,112,808.1,2.1,1021.2,7.2,520.3,579.4,613.5,649.8,736.3,920.9,1061.6,1149.9,1284.1,x
Ealing,One Bedroom,460,1582,1409,1550,1750,E09000009,112,808.1,2.1,1021.2,7.2,520.3,579.4,613.5,649.8,736.3,920.9,1061.6,1149.9,1284.1,x
Ealing,Two Bedrooms,650,1975,1750,1900,2200,E09000009,112,808.1,2.1,1021.2,7.2,520.3,579.4,613.5,649.8,736.3,920.9,1061.6,1149.9,1284.1,x
Ealing,Three Bedrooms,220,2523,2100,2400,2800,E09000009,112,808.1,2.1,1021.2,7.2,520.3,579.4,613.5,649.8,736.3,920.9,1061.6,1149.9,1284.1,x
Ealing,Four or More Bedrooms,80,3468,2700,3300,4063,E09000009,112,808.1,2.1,1021.2,7.2,520.3,579.4,613.5,649.8,736.3,920.9,1061.6,1149.9,1284.1,x
Enfield,Room,60,668,600,676,726,E09000010,83,865.1,3.1,1020.5,-13.3,547.1,617.2,646.9,703.1,789.7,976.6,1092.4,1205.9,1300.6,x
Enfield,Studio,40,1113,1025,1100,1200,E09000010,83,865.1,3.1,1020.5,-13.3,547.1,617.2,646.9,703.1,789.7,976.6,1092.4,1205.9,1300.6,x
Enfield,One Bedroom,230,1307,1200,1300,1400,E09000010,83,865.1,3.1,1020.5,-13.3,547.1,617.2,646.9,703.1,789.7,976.6,1092.4,1205.9,1300.6,x
Enfield,Two Bedrooms,410,1612,1450,1600,1750,E09000010,83,865.1,3.1,1020.5,-13.3,547.1,617.2,646.9,703.1,789.7,976.6,1092.4,1205.9,1300.6,x
Enfield,Three Bedrooms,330,2051,1800,2000,2250,E09000010,83,865.1,3.1,1020.5,-13.3,547.1,617.2,646.9,703.1,789.7,976.6,1092.4,1205.9,1300.6,x
Enfield,Four or More Bedrooms,90,2806,2400,2600,3050,E09000010,83,865.1,3.1,1020.5,-13.3,547.1,617.2,646.9,703.1,789.7,976.6,1092.4,1205.9,1300.6,x
Greenwich,Room,110,862,699,850,1025,E09000011,105,902.8,5.5,1145.1,11.9,555.8,618,656.7,700.2,790.5,1039.9,1186.8,1266.6,1389.7,x
Greenwich,Studio,40,1072,923,1000,1200,E09000011,105,902.8,5.5,1145.1,11.9,555.8,618,656.7,700.2,790.5,1039.9,1186.8,1266.6,1389.7,x
Greenwich,One Bedroom,680,1545,1350,1525,1750,E09000011,105,902.8,5.5,1145.1,11.9,555.8,618,656.7,700.2,790.5,1039.9,1186.8,1266.6,1389.7,x
Greenwich,Two Bedrooms,1000,1885,1600,1850,2100,E09000011,105,902.8,5.5,1145.1,11.9,555.8,618,656.7,700.2,790.5,1039.9,1186.8,1266.6,1389.7,x
Greenwich,Three Bedrooms,480,2203,1850,2100,2500,E09000011,105,902.8,5.5,1145.1,11.9,555.8,618,656.7,700.2,790.5,1039.9,1186.8,1266.6,1389.7,x
Greenwich,Four or More Bedrooms,120,2927,2305,2750,3300,E09000011,105,902.8,5.5,1145.1,11.9,555.8,618,656.7,700.2,790.5,1039.9,1186.8,1266.6,1389.7,x
Hackney,Room,40,996,872,979,1070,E09000012,77,959.3,8.8,1153.8,6.5,551,643.1,702.7,766.6,846.7,1139.8,1266.8,1382.6,1524,x
