borough,bedroom_category,rent_count,rent_mean_gbp,rent_lower_quartile_gbp,rent_median_gbp,rent_upper_quartile_gbp,code,jobs_thousand,median_weekly_pay_gross_gbp,annual_pct_change_median,mean_weekly_pay_gross_gbp,annual_pct_change_mean,p10_gbp,p20_gbp,p25_gbp,p30_gbp,p40_gbp,p60_gbp,p70_gbp,p75_gbp,p80_gbp,p90_gbp
Newham,Two Bedrooms,610,1775,1500,1750,2000,E09000025,106,822.2,8.4,1014.9,11.1,524.6,596.4,626.9,663.1,732.8,946.4,1054.2,1178.3,1305.9,x
Newham,Three Bedrooms,350,2088,1800,2000,2400,E09000025,106,822.2,8.4,1014.9,11.1,524.6,596.4,626.9,663.1,732.8,946.4,1054.2,1178.3,1305.9,x
Newham,Four or More Bedrooms,100,2612,2300,2500,3000,E09000025,106,822.2,8.4,1014.9,11.1,524.6,596.4,626.9,663.1,732.8,946.4,1054.2,1178.3,1305.9,x
Redbridge,Room,60,773,671,826,876,E09000026,76,862.4,5.2,1079,3.1,537.4,597.3,646.1,675,765.8,991.2,1139.4,1248.9,1403.2,x
Redbridge,Studio,30,992,850,1000,1163,E09000026,76,862.4,5.2,1079,3.1,537.4,597.3,646.1,675,765.8,991.2,1139.4,1248.9,1403.2,x
Redbridge,One Bedroom,380,1335,1200,1350,1450,E09000026,76,862.4,5.2,1079,3.1,537.4,597.3,646.1,675,765.8,991.2,1139.4,1248.9,1403.2,x
Redbridge,Two Bedrooms,650,1683,1500,1650,1875,E09000026,76,862.4,5.2,1079,3.1,537.4,597.3,646.1,675,765.8,991.2,1139.4,1248.9,1403.2,x
Redbridge,Three Bedrooms,340,2060,1800,2050,2300,E09000026,76,862.4,5.2,1079,3.1,537.4,597.3,646.1,675,765.8,991.2,1139.4,1248.9,1403.2,x
Redbridge,Four or More Bedrooms,140,2663,2250,2600,2900,E09000026,76,862.4,5.2,1079,3.1,537.4,597.3,646.1,675,765.8,991.2,1139.4,1248.9,1403.2,x
Richmond upon Thames,Room,10,697,..,726,..,E09000027,55,1056.6,10,1445.8,2.7,572.8,650,705.7,749.1,888.1,1254,1525.9,1614.2,1931.3,x
Richmond upon Thames,Studio,10,1321,..,1375,..,E09000027,55,1056.6,10,1445.8,2.7,572.8,650,705.7,749.1,888.1,1254,1525.9,1614.2,1931.3,x
Richmond upon Thames,One Bedroom,240,1603,1400,1550,1750,E09000027,55,1056.6,10,1445.8,2.7,572.8,650,705.7,749.1,888.1,1254,1525.9,1614.2,1931.3,x
Richmond upon Thames,Two Bedrooms,350,2154,1764,2050,2455,E09000027,55,1056.6,10,1445.8,2.7,572.8,650,705.7,749.1,888.1,1254,1525.9,1614.2,1931.3,x
Richmond upon Thames,Three Bedrooms,170,2893,2250,2650,3300,E09000027,55,1056.6,10,1445.8,2.7,572.8,650,705.7,749.1,888.1,1254,1525.9,1614.2,1931.3,x
Richmond upon Thames,Four or More Bedrooms,90,4218,3300,3850,4525,E09000027,55,1056.6,10,1445.8,2.7,572.8,650,705.7,749.1,888.1,1254,1525.9,1614.2,1931.3,x
Southwark,Room,70,932,751,895,1090,E09000028,119,939.9,6.5,1160.7,9.2,559.2,648.3,683.8,734.1,843.1,1063.4,1236.9,1320.7,1482,x
Southwark,Studio,50,1369,1176,1350,1500,E09000028,119,939.9,6.5,1160.7,9.2,559.2,648.3,683.8,734.1,843.1,1063.4,1236.9,1320.7,1482,x
Southwark,One Bedroom,880,1793,1500,1712,2000,E09000028,119,939.9,6.5,1160.7,9.2,559.2,648.3,683.8,734.1,843.1,1063.4,1236.9,1320.7,1482,x
Southwark,Two Bedrooms,1150,2291,1900,2200,2600,E09000028,119,939.9,6.5,1160.7,9.2,559.2,648.3,683.8,734.1,843.1,1063.4,1236.9,1320.7,1482,x
Southwark,Three Bedrooms,330,2807,2300,2700,3200,E09000028,119,939.9,6.5,1160.7,9.2,559.2,648.3,683.8,734.1,843.1,1063.4,1236.9,1320.7,1482,x
Southwark,Four or More Bedrooms,190,3611,3140,3500,4100,E09000028,119,939.9,6.5,1160.7,9.2,559.2,648.3,683.8,734.1,843.1,1063.4,1236.9,1320.7,1482,x
Sutton,Room,-,..,..,..,..,E09000029,69,852,-0.1,1042.3,5,520.4,616.6,641.6,679.4,767.4,940.8,1104.7,1193.3,1327.4,x
Sutton,Studio,30,956,830,950,1050,E09000029,69,852,-0.1,1042.3,5,520.4,616.6,641.6,679.4,767.4,940.8,1104.7,1193.3,1327.4,x
Sutton,One Bedroom,410,1210,1100,1209,1300,E09000029,69,852,-0.1,1042.3,5,520.4,616.6,641.6,679.4,767.4,940.8,1104.7,1193.3,1327.4,x
Sutton,Two Bedrooms,610,1512,1375,1545,1650,E09000029,69,852,-0.1,1042.3,5,520.4,616.6,641.6,679.4,767.4,940.8,1104.7,1193.3,1327.4,x
Sutton,Three Bedrooms,210,1942,1700,1995,2200,E09000029,69,852,-0.1,1042.3,5,520.4,616.6,641.6,679.4,767.4,940.8,1104.7,1193.3,1327.4,x
Sutton,Four or More Bedrooms,60,2553,2300,2500,2798,E09000029,69,852,-0.1,1042.3,5,520.4,616.6,641.6,679.4,767.4,940.8,1104.7,1193.3,1327.4,x
Tower Hamlets,Room,140,941,770,876,1112,E09000030,106,996.6,12.3,1242.1,11.5,576.9,676.9,720.7,761.1,869.1,1131.9,1315.5,1427.1,1629,x
Tower Hamlets,Studio,80,1787,1500,1733,1950,E09000030,106,996.6,12.3,1242.1,11.5,576.9,676.9,720.7,761.1,869.1,1131.9,1315.5,1427.1,1629,x
Tower Hamlets,One Bedroom,650,1932,1700,1860,2100,E09000030,106,996.6,12.3,1242.1,11.5,576.9,676.9,720.7,761.1,869.1,1131.9,1315.5,1427.1,1629,x
Tower Hamlets,Two Bedrooms,770,2385,2000,2300,2600,E09000030,106,996.6,12.3,1242.1,11.5,576.9,676.9,720.7,761.1,869.1,1131.9,1315.5,1427.1,1629,x
Tower Hamlets,Three Bedrooms,240,2933,2500,2800,3200,E09000030,106,996.6,12.3,1242.1,11.5,576.9,676.9,720.7,761.1,869.1,1131.9,1315.5,1427.1,1629,x
Tower Hamlets,Four or More Bedrooms,70,3790,3388,3800,4125,E09000030,106,996.6,12.3,1242.1,11.5,576.9,676.9,720.7,761.1,869.1,1131.9,1315.5,1427.1,1629,x
Waltham Forest,Room,20,740,626,691,845,E09000031,80,900.8,7.3,1061.9,9,539.1,613.1,659.9,710.6,799.5,1014.9,1184.7,1253.9,1335.2,x
Waltham Forest,Studio,40,1179,1040,1188,1256,E09000031,80,900.8,7.3,1061.9,9,539.1,613.1,659.9,710.6,799.5,1014.9,1184.7,1253.9,1335.2,x
Waltham Forest,One Bedroom,420,1398,1271,1400,1500,E09000031,80,900.8,7.3,1061.9,9,539.1,613.1,659.9,710.6,799.5,1014.9,1184.7,1253.9,1335.2,x
Waltham Forest,Two Bedrooms,600,1696,1525,1700,1850,E09000031,80,900.8,7.3,1061.9,9,539.1,613.1,659.9,710.6,799.5,1014.9,1184.7,1253.9,1335.2,x
Waltham Forest,Three Bedrooms,280,2085,1850,2088,2300,E09000031,80,900.8,7.3,1061.9,9,539.1,613.1,659.9,710.6,799.5,1014.9,1184.7,1253.9,1335.2,x
Waltham Forest,Four or More Bedrooms,90,2559,2300,2500,2800,E09000031,80,900.8,7.3,1061.9,9,539.1,613.1,659.9,710.6,799.5,1014.9,1184.7,1253.9,1335.2,x
Wandsworth,Room,150,1097,901,1182,1293,E09000032,117,1016.6,9.8,1345.2,14.3,590,670.8,731.8,792.9,891.2,1184.1,1413.1,1556.7,1770.9,x
Wandsworth,Studio,30,1318,1150,1350,1450,E09000032,117,1016.6,9.8,1345.2,14.3,590,670.8,731.8,792.9,891.2,1184.1,1413.1,1556.7,1770.9,x
Wandsworth,One Bedroom,770,1804,1600,1750,1950,E09000032,117,1016.6,9.8,1345.2,14.3,590,670.8,731.8,792.9,891.2,1184.1,1413.1,1556.7,1770.9,x
Wandsworth,Two Bedrooms,1160,2301,1975,2250,2515,E09000032,117,1016.6,9.8,1345.2,14.3,590,670.8,731.8,792.9,891.2,1184.1,1413.1,1556.7,1770.9,x
Wandsworth,Three Bedrooms,550,3032,2500,2900,3413,E09000032,117,1016.6,9.8,1345.2,14.3,590,670.8,731.8,792.9,891.2,1184.1,1413.1,1556.7,1770.9,x
Wandsworth,Four or More Bedrooms,290,4242,3400,4000,4800,E09000032,117,1016.6,9.8,1345.2,14.3,590,670.8,731.8,792.9,891.2,1184.1,1413.1,1556.7,1770.9,x
Westminster,Room,60,968,876,926,1061,E09000033,61,1015.5,6,1385.2,-7.8,577.1,642.2,706.8,728.3,869.6,1164.5,1341.6,1502.9,1759.2,x
Westminster,Studio,110,1773,1516,1742,1993,E09000033,61,1015.5,6,1385.2,-7.8,577.1,642.2,706.8,728.3,869.6,1164.5,1341.6,1502.9,1759.2,x
Westminster,One Bedroom,550,2708,2200,2600,3077,E09000033,61,1015.5,6,1385.2,-7.8,577.1,642.2,706.8,728.3,869.6,1164.5,1341.6,1502.9,1759.2,x
Westminster,Two Bedrooms,590,3678,2800,3497,4160,E09000033,61,1015.5,6,1385.2,-7.8,577.1,642.2,706.8,728.3,869.6,1164.5,1341.6,1502.9,1759.2,x
Westminster,Three Bedrooms,210,5071,3513,4618,6062,E09000033,61,1015.5,6,1385.2,-7.8,577.1,642.2,706.8,728.3,869.6,1164.5,1341.6,1502.9,1759.2,x
Westminster,Four or More Bedrooms,50,8567,5775,7800,10833,E09000033,61,1015.5,6,1385.2,-7.8,577.1,642.2,706.8,728.3,869.6,1164.5,1341.6,1502.9,1759.2,x
